filename,bugis,indo
2_copy_6,winda iya' aseng ku,Nama saya Winda
2_copy_7,winda iya' aseng ku,Nama saya Winda
2_copy_8,winda iya' aseng ku,Nama saya Winda
2_copy_9,winda iya' aseng ku,Nama saya Winda
2_copy_10,winda iya' aseng ku,Nama saya Winda
2_copy_11,winda iya' aseng ku,Nama saya Winda
2_copy_12,winda iya' aseng ku,Nama saya Winda
2_copy_13,winda iya' aseng ku,Nama saya Winda
2_copy_14,winda iya' aseng ku,Nama saya Winda
2_copy_15,winda iya' aseng ku,Nama saya Winda
2_copy_16,winda iya' aseng ku,Nama saya Winda
2_copy_17,winda iya' aseng ku,Nama saya Winda
2_copy_18,winda iya' aseng ku,Nama saya Winda
2_copy_19,winda iya' aseng ku,Nama saya Winda
2_copy_20,winda iya' aseng ku,Nama saya Winda
2_copy_21,winda iya' aseng ku,Nama saya Winda
2_copy_22,winda iya' aseng ku,Nama saya Winda
2_copy_23,winda iya' aseng ku,Nama saya Winda
2_copy_24,winda iya' aseng ku,Nama saya Winda
2_copy_25,winda iya' aseng ku,Nama saya Winda
2_copy_26,winda iya' aseng ku,Nama saya Winda
2_copy_27,winda iya' aseng ku,Nama saya Winda
2_copy_28,winda iya' aseng ku,Nama saya Winda
2_copy_29,winda iya' aseng ku,Nama saya Winda
2_copy_30,winda iya' aseng ku,Nama saya Winda
2_copy_31,winda iya' aseng ku,Nama saya Winda
2_copy_32,winda iya' aseng ku,Nama saya Winda
2_copy_33,winda iya' aseng ku,Nama saya Winda
2_copy_34,winda iya' aseng ku,Nama saya Winda
2_copy_35,winda iya' aseng ku,Nama saya Winda
2_copy_36,winda iya' aseng ku,Nama saya Winda
2_copy_37,winda iya' aseng ku,Nama saya Winda
2_copy_38,winda iya' aseng ku,Nama saya Winda
2_copy_39,winda iya' aseng ku,Nama saya Winda
2_copy_40,winda iya' aseng ku,Nama saya Winda
2_copy_41,winda iya' aseng ku,Nama saya Winda
2_copy_42,winda iya' aseng ku,Nama saya Winda
2_copy_43,winda iya' aseng ku,Nama saya Winda
2_copy_44,winda iya' aseng ku,Nama saya Winda
2_copy_45,winda iya' aseng ku,Nama saya Winda
2_copy_46,winda iya' aseng ku,Nama saya Winda
2_copy_47,winda iya' aseng ku,Nama saya Winda
2_copy_48,winda iya' aseng ku,Nama saya Winda
2_copy_49,winda iya' aseng ku,Nama saya Winda
2_copy_50,winda iya' aseng ku,Nama saya Winda
3_copy_1,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_2,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_3,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_4,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_5,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_6,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_7,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_8,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_9,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_10,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_11,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_12,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_13,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_14,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_15,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_16,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_17,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_18,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_19,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_20,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_21,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_22,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_23,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_24,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_25,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_26,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_27,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_28,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_29,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_30,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_31,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_32,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_33,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_34,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_35,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_36,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_37,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_38,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_39,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_40,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_41,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_42,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_43,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_44,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_45,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_46,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_47,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_48,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_49,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
3_copy_50,akki no pasa'e melli sapatu,kamu beli sepatu di pasar saja
4_copy_1,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_2,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_3,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_4,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_5,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_6,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_7,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_8,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_9,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_10,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_11,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_12,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_13,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_14,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_15,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_16,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_17,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_18,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_19,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_20,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_21,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_22,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_23,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_24,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_25,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_26,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_27,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_28,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_29,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_30,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_31,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_32,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_33,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_34,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_35,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_36,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_37,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_38,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_39,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_40,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_41,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_42,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_43,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_44,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_45,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_46,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_47,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_48,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_49,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
4_copy_50,egana tu agagang mu ta'tale,banyaknya barangmu yang berserakan
5_copy_1,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_2,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_3,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_4,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_5,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_6,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_7,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_8,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_9,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_10,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_11,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_12,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_13,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_14,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_15,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_16,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_17,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_18,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_19,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_20,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_21,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_22,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_23,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_24,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_25,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_26,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_27,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_28,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_29,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_30,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_31,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_32,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_33,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_34,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_35,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_36,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_37,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_38,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_39,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_40,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_41,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_42,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_43,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_44,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_45,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_46,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_47,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_48,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_49,engka maneng akkaleng ta',kita semua memiliki akal
5_copy_50,engka maneng akkaleng ta',kita semua memiliki akal
6_copy_1,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_2,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_3,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_4,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_5,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_6,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_7,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_8,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_9,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_10,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_11,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_12,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_13,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_14,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_15,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_16,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_17,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_18,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_19,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_20,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_21,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_22,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_23,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_24,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_25,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_26,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_27,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_28,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_29,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_30,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_31,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_32,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_33,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_34,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_35,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_36,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_37,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_38,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_39,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_40,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_41,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_42,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_43,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_44,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_45,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_46,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_47,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_48,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_49,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
6_copy_50,jokka ko mala wae akki bungnge ,kamu pergi ambil air di sumur
7_copy_1,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_2,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_3,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_4,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_5,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_6,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_7,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_8,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_9,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_10,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_11,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_12,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_13,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_14,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_15,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_16,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_17,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_18,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_19,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_20,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_21,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_22,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_23,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_24,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_25,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_26,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_27,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_28,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_29,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_30,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_31,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_32,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_33,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_34,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_35,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_36,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_37,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_38,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_39,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_40,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_41,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_42,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_43,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_44,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_45,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_46,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_47,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_48,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_49,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
7_copy_50,aja' mu ala anunna tau langinge,jangan mengambil milik orang lain
8_copy_1,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_2,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_3,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_4,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_5,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_6,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_7,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_8,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_9,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_10,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_11,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_12,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_13,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_14,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_15,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_16,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_17,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_18,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_19,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_20,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_21,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_22,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_23,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_24,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_25,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_26,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_27,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_28,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_29,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_30,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_31,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_32,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_33,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_34,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_35,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_36,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_37,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_38,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_39,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_40,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_41,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_42,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_43,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_44,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_45,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_46,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_47,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_48,aja' mu salai onrong mu,jangan tinggalkan tempatmu
8_copy_49,aja' mu salai onrong mu,jangan tinggalkan tempatmu
